Code	d13C	d15N
1	-22.89790196	7.028486961
1	-22.73712036	8.370973223
1	-20.90675903	10.27594808
1	-20.63519498	11.55571079
1	-20.96562303	9.766746084
1	-21.90064181	8.407003916
1	-21.68713804	9.983575409
1	-24.5508153	9.978517059
1	-21.94964699	8.118244125
1	-20.75490077	10.43722258
1	-22.09960283	9.524464752
1	-22.40931555	8.78970953
1	-21.22339026	9.843880548
1	-23.99120267	6.765424282
1	-22.7004063	7.251964752
1	-22.65630164	9.111103133
1	-20.16585854	8.997379243
1	-19.51703	10.26020888
1	-18.76235027	11.35294713
1	-19.62484139	10.7052154
1	-22.08196097	8.596873368
1	-22.54358974	8.650274151
1	-22.091762	8.815421018
1	-22.01041341	9.462163838
1	-22.66806289	8.816409922
1	-22.60435616	9.901236945
1	-23.06402472	8.073743473
1	-20.43832733	9.994193864
1	-22.85526266	8.394148172
1	-21.1234197	9.995182768
1	-22.09862273	8.002542428
1	-21.88496016	9.149670366
1	-20.74705994	11.05726501
1	-21.41745077	9.348439948
1	-21.50075957	6.651700392
1	-22.65336133	7.131318538
1	-20.54711882	9.102203003
1	-20.5980842	6.322395561
1	-23.8882918	6.94243799
1	-23.15909476	9.106158616
1	-19.71697112	11.15714426
1	-20.13939575	10.66961488
1	-20.76862222	10.07528394
1	-22.6729634	7.828495431
1	-24.02354609	7.276687337
1	-22.80821769	6.670489556
1	-20.93131941	8.337780679
1	-22.78371511	5.758720627
1	-22.90132753	6.736746084
1	-22.81801873	5.144611619
1	-23.05476207	7.578835511
1	-20.20873158	11.15711276
1	-22.22046239	9.44030855
1	-20.23226059	11.62349269
1	-22.58516213	7.199459213
1	-22.81064853	8.58443562
1	-22.80966815	8.931438475
1	-23.33024762	8.726069438
1	-24.72924366	8.791827997
1	-22.44398804	9.91174683
1	-22.26555967	9.178285986
2	-24.52927951	7.849262402
2	-22.2564194	6.833658616
2	-23.05324358	7.86904047
2	-20.49321313	11.03353133
2	-21.57230713	5.954523499
2	-20.82056771	11.30547977
2	-20.4304865	10.00012728
2	-19.35727312	12.75026762
2	-23.01207923	7.639614883
2	-22.99345726	8.281413185
2	-20.36775987	11.54380548
2	-20.94014034	10.90398499
2	-21.04795173	9.965515666
2	-22.92583012	5.984190601
2	-22.44753959	9.993204961
2	-23.43450386	6.822780679
2	-21.58406837	9.624343995
2	-21.73304411	5.960456919
2	-20.4295064	9.342506527
2	-22.01433382	9.146703655
2	-22.05157776	8.808498695
2	-22.61121688	9.108136423
2	-22.28876282	7.71477154
2	-22.4240171	8.229001305
2	-22.35835017	9.385029373
2	-22.95327302	7.308332245
2	-21.22241016	8.653240862
2	-18.9103459	11.90969974
2	-21.19692747	8.340747389
2	-21.25867399	9.527431462
2	-23.50311111	7.441834204
2	-19.73461298	11.17494452
2	-21.85457695	9.615443864
2	-23.62072353	8.657196475
2	-22.8366407	6.56368799
2	-18.72608644	12.31613903
2	-22.2848424	9.594676893
2	-21.00286697	11.65357376
2	-23.96964039	6.78816906
2	-22.01433382	7.746416449
2	-21.22731068	6.583466057
2	-22.39853441	6.247238903
2	-22.85722287	6.897937337
2	-20.03814621	12.13640944
2	-23.58838011	6.599288512
2	-23.79616206	7.047261749
2	-24.01962567	7.273720627
2	-23.04932317	6.858381201
2	-21.38510735	10.06935052
2	-21.42235128	9.893325718
2	-23.73441554	6.832669713
2	-22.63963988	6.361951697
